"title","year","authors","affiliations","journal","citations","keywords","affiliation_missing","source","doi"
"Enhancing retinal disease diagnosis through AI: Evaluating performance, ethical considerations, and clinical implementation","2024","Fatima M.; Pachauri P.; Akram W.; Parvez M.; Ahmad S.; Yahya Z.","Department of Commerce and Business Studies, Jamia Millia Islamia, New Delhi, 110025, India; Uttar Pradesh Institute of Design, Uttar Pradesh, Noida, India; Department of Mechanical Engineering, Mewat Engineering College, Palla, District Nuh̥, Haryana, Mewat, India; Department of Mechanical Engineering, Al-Falah University, Haryana, Faridabad, 121004, India; Department of Mechanical Engineering, Jamia Millia Islamia, New Delhi, 110025, India; Department of Physics, College of Science, Qassim University, Al-Qassim, Buraidah, 51452, Saudi Arabia","Informatics and Health","20","Algorithm bias; Artificial intelligence; Data protection; Doctor-patient relationship; Retina disease detection","False","Scopus","10.1016/j.infoh.2024.05.003"
"Pro-Inflammatory Characteristics of Extracellular Vesicles in the Vitreous of Type 2 Diabetic Patients","2024","Shan S.; Alanazi A.H.; Han Y.; Zhang D.; Liu Y.; Narayanan S.P.; Somanath P.R.","Clinical and Experimental Therapeutics, University of Georgia, Augusta, 30912, GA, United States; James and Jean Culver Vision Discovery Institute, Augusta University, Augusta, 30912, GA, United States; Department of Clinical Practice, College of Pharmacy, Northern Border University, Rafha, 76313, Saudi Arabia; Department of Microbiology, Wonkwang University School of Medicine, Iksan, 54538, South Korea; Department of Cellular Biology and Anatomy, Augusta University, Augusta, 30912, GA, United States","Biomedicines","11","claudin-5; diabetes; extracellular vesicles; inflammation; retinopathy","False","Scopus","10.3390/biomedicines12092053"
"Guanidine dicycloamine-based analogs: green chemistry synthesis, biological investigation, and molecular docking studies as promising antibacterial and antiglycation leads","2024","El-Remaily M.A.E.A.A.A.; Aboelez M.O.; Ezelarab H.A.A.; Selim H.M.R.M.; Taha E.A.; Mohamed S.K.; Soliman A.M.; Abdallah M.S.; Fawy M.A.; Hassany M.A.; Ahmed N.; Alsaggaf A.T.; El Hamd M.A.; Kamel M.S.","Department of Chemistry, Faculty of Science, Sohag University, Sohag, 82524, Egypt; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Sohag University, Sohag, 82524, Egypt; Department of Medicinal Chemistry, Faculty of Pharmacy, Minia University, Minia, 61519, Egypt; Department of Pharmaceutical Sciences, Faculty of Pharmacy, AlMaarefa University, Diriyah, Riyadh, Saudi Arabia; Department of Microbiology and Immunology, Faculty of Pharmacy, Al-Azhar University, Cairo, Egypt; Department of Chemistry, Faculty of Pharmacy, October 6 University, 6 October City, Giza, Egypt; The Environment and School of Healthcare Science, Manchester Metropolitan University, Manchester, United Kingdom; Department of Zoology, Faculty of Science, South Valley University, Qena, 83523, Egypt; Department of Internal Medicine, Faculty of Medicine, Aswan University, Aswan, Egypt; Department of Chemistry, Taibah University, Madinah, Saudi Arabia; Department of Pharmaceutical Chemistry, College of Pharmacy, Shaqra University, Shaqra, 11961, Saudi Arabia; Department of Pharmaceutical Analytical Chemistry, Faculty of Pharmacy, South Valley University, Qena, 83523, Egypt","Molecular Diversity","18","Antiglycation; Antimicrobial; Guanidine compounds; Molecular docking; NMR spectra","False","Scopus","10.1007/s11030-024-10816-w"
"Case Study: Optical Rehabilitation Remedies for a Patient with Keratoconus and Esophoria with Biochemical Aspects","2024","Al Ibrahim A.I.A.; Ali Aboalqasim A.M.; Namazi L.A.; Tawashi M.M.; Faqihi M.Y.; Farhan R.; Albayshi A.A.; Alubaie M.A.; Sayed M.Y.; Alnakhli R.E.; Aishaia F.I.; Aldossary S.B.; Alsubaie N.M.; Mubarek S.A.A.; Raeedi W.A.; Alhamdan A.M.; Hassani A.M.","Ministry of Health, Saudi Arabia; King Saud Medical City, Ministry of Health, Saudi Arabia; King Saud Hospital for Obstetrics and Gynecology, Ministry of Health, Saudi Arabia; Al dar Albedha2, Ministry of Health, Riyadh, Saudi Arabia; King Saud Medical City, Saudi Arabia","Egyptian Journal of Chemistry","0","Biochemical Aspects; Esophoria; Keratoconus; Rehabilitation","False","Scopus","10.21608/ejchem.2024.345498.11006"
"AI-Based Vision Screening Tool for Keratoconus","2024","Rahman R.; Kumar P.; Sharma Y.K.; Sharma M.; Challa N.K.","Glocal University, Saharanpur, India; Swami Rama Himalayan University (SRHU), Dehradun, India; ITS Engineering College, Greater Noida, India; Qassim University, Buraidah, Saudi Arabia","Lecture Notes in Electrical Engineering","1","Healthcare technology; Image recognition; Keratoconus; Medical AI tools; Vision screening tool","False","Scopus","10.1007/978-981-97-5231-7_15"
"Outcomes of sutured scleral-fixated intraocular lens implantation combined with penetrating keratoplasty","2024","Almulhim A.; Alsarhani W.K.; Alanazi B.; Alfaleh A.; Aljindan M.; Al Malawi R.M.; Al-Somali A.","Department of Ophthalmology, College of Medicine, Jouf University, Sakakah, Al-Jouf, Saudi Arabia; Department of Ophthalmology and Vision Sciences, University of Toronto, 340 College Street, Toronto, M5T 3A9, ON, Canada; Department of Ophthalmology, King Faisal Specialist Hospital & amp; Research Centre, Riyadh, Saudi Arabia; Department of Ophthalmology, College of Medicine, Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia; College of Computer and Information Sciences, Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia; Department of Ophthalmology, College of Medicine, King Faisal University, Al-Ahsa, Saudi Arabia","BMC Ophthalmology","1","Corneal transplant; Keratoplasty; Scleral-fixated lens implant","False","Scopus","10.1186/s12886-024-03603-6"
"Rutin-Activated Nuclear Factor Erythroid 2-Related Factor 2 (Nrf2) Attenuates Corneal and Heart Damage in Mice","2024","Emeka P.M.; Badger-Emeka L.I.; Thirugnanasambantham K.; Alatawi A.S.","Department of Pharmaceutical Science, College of Clinical Pharmacy, King Faisal University, Al Ahsa 31982, Saudi Arabia; Department of Biomedical Science, College of Medicine, King Faisal University, Al Ahsa 31982, Saudi Arabia; Pondicherry Centre for Biological Science and Educational Trust, Sundararaja Nagar, Puducherry, 605004, India","Pharmaceuticals","7","antioxidants; corneal injuries; isoproterenol; nuclear factor erythroid 2-related factor; oxidative stress; reactive oxygen species; rutin","False","Scopus","10.3390/ph17111523"
"Nanosuspensions in ophthalmology: Overcoming challenges and enhancing drug delivery for eye diseases","2024","Fathi-Karkan S.; Amiri Ramsheh N.; Arkaban H.; Narooie-Noori F.; Sargazi S.; Mirinejad S.; Roostaee M.; Sargazi S.; Barani M.; Malahat Shadman S.; Althomali R.H.; Rahman M.M.","Natural Products and Medicinal Plants Research Center, North Khorasan University of Medical Sciences, Bojnurd, 94531-55166, Iran; Department of Advanced Sciences and Technologies in Medicine, School of Medicine, North Khorasan University of Medical Sciences, Bojnurd, 9414974877, Iran; Catalysts and Organic Synthesis Research Laboratory, Department of Chemistry, Iran University of Science and Technology, Tehran, 16846, Iran; Department of Chemistry, University of Isfahan, Isfahan, 8174673441, Iran; Optometry Department, School of Rehabilitation, Tehran University of Medical Sciences, Tehran, Iran; Cellular and Molecular Research Center, Research Institute of Cellular and Molecular Sciences in Infectious Diseases, Zahedan University of Medical Sciences, Zahedan, Iran; Department of Chemistry, Faculty of Sciences, Vali-e-Asr University of Rafsanjan, Rafsanjan, Iran; Department of Clinical Biochemistry, School of Medicine, Zahedan University of Medical Sciences, Zahedan, Iran; Department of Chemistry, Faculty of Nano and Bio Science and Technology, Persian Gulf University, Bushehr, 75168, Iran; Department of Chemistry, College of Art and Science, Prince Sattam bin Abdulaziz University, Wadi Al-Dawasir, Al Kharj, 11991, Saudi Arabia; Center of Excellence for Advanced Materials Research (CEAMR) & Department of Chemistry, Faculty of Science, King Abdulaziz University, Jeddah, 21589, Saudi Arabia","International Journal of Pharmaceutics","46","Drug absorption; Drug categories; Drug solubility; Nanosuspensions; Ocular diseases; Ophthalmic drug delivery","False","Scopus","10.1016/j.ijpharm.2024.124226"
"The Big Bubble Technique","2024","Eldanasoury A.M.; Said Tolees S.; Bains H.S.","Magrabi Eye Hospital, Jeddah, Saudi Arabia; Sight By Design, Edmonton, AB, Canada","Mastering Dalk: A Video Textbook on Deep Anterior Lamellar Keratoplasty","0","","False","Scopus","10.1201/9781003525011-5"
"A Hybrid Framework Leveraging Whale Optimization and Deep Learning with Trust-Index for Attack Identification in IoT Networks","2024","Gotarane V.; Abimannan S.; Hussain S.; Irshad R.R.","Amity University Maharashtra, Amity School of Engineering and Technology, Mumbai, 410221, India; National University of Ireland, Maynooth (NUIM), Innovation Value Institute (IVI), School of Business, Maynooth, W23 F2H6, Ireland; Najran University, College of Science and Arts-Sharurah, Department of Computer Science, Najran, 68341, Saudi Arabia; Najran University, Science and Engineering Research Center, Najran, 68341, Saudi Arabia","IEEE Access","19","Fitness function; hybrid security framework; optimized neural network; trust-index; whale optimization","False","Scopus","10.1109/ACCESS.2024.3374691"
"Development of new thiazole-guanidine complexes as rapid and recoverable catalysts for the synthesis of 6-piperidin-dihydro-thia-hexaaza-s-indacene derivatives supported by DFT studies","2024","El-Remaily M.A.E.A.A.A.; Elhady O.; Alzubi M.S.H.; Eskander T.N.A.; El Hamd M.A.; Al-Ghamdi K.; Abu-Dief A.M.","Department of Chemistry, Faculty of Science, Sohag University, Sohag, 82524, Egypt; Department of Chemistry, Faculty of Science, Al-Balqa Applied University, Al Salt, 19117, Jordan; Department of Pharmaceutical Chemistry, College of Pharmacy, Shaqra University, Shaqra, 11961, Saudi Arabia; Department of Pharmaceutical Analytical Chemistry, Faculty of Pharmacy, South Valley University, Qena, 83523, Egypt; Chemistry Department, College of Science, Taibah University, Madinah, P.O. Box 344, Saudi Arabia","Applied Organometallic Chemistry","23","6-piperidin-dihydro-thia-hexaaza-s-indacene derivatives; DFT studies; environmentally friendly; powerful catalysts; Thiazole-guanidine complexes","False","Scopus","10.1002/aoc.7454"
"Exploring the sedative properties of natural molecules from hop cones (Humulus lupulus) as promising natural anxiolytics through GABA receptors and the human serotonin transporter","2024","Belal A.; Elballal M.S.; Al-Karmalawy A.A.; Hassan A.H.E.; Roh E.J.; Ghoneim M.M.; Ali M.A.M.; Obaidullah A.J.; Alotaibi J.M.; Shaaban S.; Elanany M.A.","Department of Pharmaceutical Chemistry, College of Pharmacy, Taif University, Taif, Saudi Arabia; Department of Biochemistry, Faculty of Pharmacy, Badr University in Cairo (BUC), Cairo, Egypt; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Horus University-Egypt, New Damietta, Egypt; Pharmaceutical Chemistry Department, Faculty of Pharmacy, Ahram Canadian University, Giza, Egypt; Deparment of Medicinal Chemistry, Faculty of Pharmacy, Mansoura University, Mansoura, Egypt; Chemical and Biological Integrative Research Center, Korea Institute of Science and Technology (KIST), Seoul, South Korea; Division of Bio-Medical Science and Technology, University of Science and Technology, Daejeon, South Korea; Department of Pharmacy Practice, College of Pharmacy, Almaarefa University, Ad Diriyah, Saudi Arabia; Department of Biology, College of Science, Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia; Department of Biochemistry, Faculty of Science, Ain Shams University, Cairo, Egypt; Department of Pharmaceutical Chemistry, College of Pharmacy, King Saud University, Riyadh, Saudi Arabia; Department of Microbiology and Immunology, Faculty of Pharmacy, Suef University, Beni-Suef, Egypt; Department of Clinical Laboratory Sciences, Faculty of Applied Medical Sciences, King Khalid University, Abha, Saudi Arabia; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Badr University in Cairo (BUC), Cairo, Egypt","Frontiers in Chemistry","10","DFT; hop cones; molecular docking; molecular dynamics; natural anxiolytics; natural molecules; RMSF analysis","False","Scopus","10.3389/fchem.2024.1425485"
"The mechanisms behind the dual role of long non-coding RNA (lncRNA) metastasis suppressor-1 in human tumors: Shedding light on the molecular mechanisms","2024","Abdullaev B.; Alsaab H.O.; Hjazi A.; Alkhafaji A.T.; Alawadi A.H.; Hamzah H.F.","Research Department of Biotechnology, New Uzbekistan University, Mustaqillik Avenue 54, Tashkent, 100007, Uzbekistan; Department of Pharmaceutics and Pharmaceutical Technology, Taif University, Taif, 21944, Saudi Arabia; Department of Medical Laboratory Sciences, College of Applied Medical Sciences, Prince Sattam bin Abdulaziz University, Al-Kharj, 11942, Saudi Arabia; Oncology Department, College of Medicine, Al-Ayen University, Thi-Qar, Iraq; College of Technical Engineering, the Islamic University, Najaf, Iraq; College of Technical Engineering, the Islamic University of Al Diwaniyah, Iraq; College of Technical Engineering, the Islamic University of Babylon, Iraq; Department of Medical Laboratories Technology, AL-Nisour University College, Baghdad, Iraq","Pathology Research and Practice","2","Cancer; Dysregulation; LncRNA; MTSS1; Treatment","False","Scopus","10.1016/j.prp.2024.155189"
"Profile of contact lens prescribing in GCC countries","2024","Noushad B.; Mohamed Z.; Suresh Vankudre G.; Hussaindeen J.R.; Rani K.; Elhaj M.; Alshamli N.","Department of Educational Development and Research, School of Health Professions Education, Maastricht University, Maastricht, Netherlands; Department of Optometry, College of Health Sciences, University of Buraimi, Al-Buraimi, Oman; Department of Optometry, College of Health Sciences, Gulf Medical University, Ajman, United Arab Emirates; Northwest Clinic, Dubai, United Arab Emirates; Al Badr Optics, Al-Madinah, Saudi Arabia; New Vision Optical Group, Oman","Contact Lens and Anterior Eye","4","Contact lens; GCC countries; Lens design; Prescribing profile; Survey","False","Scopus","10.1016/j.clae.2024.102128"
"Intraoperative Optical Coherence Tomography (OCT)-Guided Femtosecond Laser-Assisted Descemet Membrane Endothelial Keratoplasty (iFAD)","2024","Lim J.; Abusayf M.M.; Liu Y.-C.; Mehta J.S.","Singapore National Eye Center, Singapore, 168751, Singapore; Singapore Eye Research Institute, Singapore, 169856, Singapore; Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, 11362, Saudi Arabia; Ophthalmology and Visual Sciences Academic Clinical Programme, Duke-NUS Medical School, Singapore, 169857, Singapore","Bioengineering","1","corneal surgery; femtosecond laser; intraoperative optical coherence tomography","False","Scopus","10.3390/bioengineering11121192"
"Amelioration of endothelial integrity by 3,5,4′-trihydroxy-trans-stilbene against high-fat-diet-induced obesity and -associated vasculopathy and myocardial infarction in rats, targeting TLR4/MyD88/NF-κB/iNOS signaling cascade","2024","Singh J.; Bisht P.; Srivastav S.; Kumar Y.; Sharma V.; Kumar A.; Akhtar M.S.; Khan M.F.; Aldosari S.A.; Yadav S.; Yadav N.K.; Mukherjee M.; Sharma A.K.","Department of Cardiovascular Pharmacology, Amity Institute of Pharmacy, Amity University, Haryana, Gurugram, 122413, India; Department of Clinical Pharmacy, College of Pharmacy, King Khalid University, Alfara, Abha, 62223, Saudi Arabia; Department of Clinical Pharmacy, College of Pharmacy, Prince Sattam Bin Abdul Aziz University, Al-Kharj, 11942, Saudi Arabia; Department of Pharmaceutical Sciences, Indra Gandhi University, Meerpur, Haryana, Rewari, 122502, India; Molecular Sciences and Engineering Laboratory, Amity Institute of Click Chemistry Research and Studies, Amity University, Uttar Pradesh, Noida, 201303, India","Biochemical and Biophysical Research Communications","15","Endothelial dysfunction; HFD-Induced obesity; Inflammatory cytokines; Myocardial infarction; Resveratrol; TLR4/MyD88/NF-κB/iNOS pathway","False","Scopus","10.1016/j.bbrc.2024.149756"
"Monitoring ocular disease via optical nanostructures potentially applicable to corneal contact lens products","2024","AlQattan B.; Elsherif M.; Alam F.; Butt H.","Department of Mechanical and Nuclear Engineering, Khalifa University of Science & amp; Technology, Abu Dhabi, United Arab Emirates; School of Engineering, University of Birmingham, Birmingham, B15 2TT, United Kingdom; Department of Materials Science and Engineering, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia","NPG Asia Materials","4","","False","Scopus","10.1038/s41427-024-00550-y"
"Scheimpflug Tomography as a Predictor of Corneal Edema After Phacoemulsification in Fuchs Endothelial Corneal Dystrophy","2024","Eleiwa T.K.; Abd El-Azim Mohammed M.; Bayoumy A.S.M.","Department of Ophthalmology, Benha University, Benha, Egypt; Department of Ophthalmology, Magrabi Eye and Dental Hospital, Qassim, Saudi Arabia; Department of Ophthalmology, Mansoura Ophthalmic hospital, Mansoura, Egypt","Clinical Ophthalmology","1","cataract surgery; corneal edema; Fuchs endothelial corneal dystrophy; pentacam; phacoemulsification; Scheimpflug tomography","False","Scopus","10.2147/OPTH.S474788"
"A cross-sectional study to compare the regional corneal thickness profiles in various age groups of Saudi population using 7 mm wide optical coherence tomography scans","2024","Alrashidi S.","Dept. of Ophthalmology, College of Medicine, Qassim University, Buraydah, Saudi Arabia","Indian Journal of Clinical and Experimental Ophthalmology","0","Age-matched normative data; Central cornea thickness; Pachymetry mapping; Paracentral and midperipheral corneal thickness; SD-OCT","False","Scopus","10.18231/j.ijceo.2024.010"
"A Hybrid Support Vector Machine with Grasshopper Optimization Algorithm based Feature Selection for Load Forecasting","2024","Aldosari H.","Prince Sattam Bin Abdul Aziz University, Department of Computer Science, Wadi Aldwassir, Saudi Arabia","International Conference on Distributed Computing and Optimization Techniques, ICDCOT 2024","4","artificial intelligence; grasshopper optimization algorithm; load forecasting; min-max normalization; support vector machine","False","Scopus","10.1109/ICDCOT61034.2024.10515470"
"One-Step Intraoperative Optical Coherence Tomography Guided Tunnel, Mushroom Femtosecond Laser Big Bubble Deep Anterior Lamellar Keratoplasty","2024","Abusayf M.M.; Liu Y.-C.; Han E.; Yu I.L.X.; Riau A.K.; Mehta J.S.","Department of Ophthalmology, College of Medicine, King Saud University, Riyadh, 11362, Saudi Arabia; Cornea and External Eye Disease Service, Singapore National Eye Center, Singapore, 168751, Singapore; Tissue Engineering and Cell Therapy Group, Singapore Eye Research Institute, Singapore, 169856, Singapore; Ophthalmology Academic Clinical Program, Duke-NUS Graduate Medical School, Singapore, 169857, Singapore","Bioengineering","3","deep anterior lamellar keratoplasty; femtosecond laser; intraoperative optical coherent tomography; intrastromal tunnel; mushroom configuration","False","Scopus","10.3390/bioengineering11070639"
"Plication or resection combined with antagonist recession in horizontal strabismus","2024","Al Sahaf E.; Al Shamlan F.T.","Department of Ophthalmology, Division of Pediatric Ophthalmology, Dhahran Eye Specialist Hospital, Dhahran, Saudi Arabia","Medical Hypothesis, Discovery, and Innovation in Ophthalmology","1","Amblyopias; Comitant strabismus; Esotropias; Exodeviation; Plication; Primary exotropia; Recession; Resection; Squint","False","Scopus","10.51329/mehdiophthal1498"
"In silico functional, structural and pathogenicity analysis of missense single nucleotide polymorphisms in human MCM6 gene","2024","Kamal M.M.; Mia M.S.; Faruque M.O.; Rabby M.G.; Islam M.N.; Talukder M.E.K.; Wani T.A.; Rahman M.A.; Hasan M.M.","Department of Nutrition and Food Technology, Jashore University of Science and Technology, Jashore, 7408, Bangladesh; Department of Food Engineering, North Pacific International University of Bangladesh, Dhaka, Bangladesh; Laboratory of Computational Biology, Biological Solution Centre, Jashore, 7408, Bangladesh; Department of Pharmaceutical Chemistry, College of Pharmacy, King Saud University, Riyadh, 11451, Saudi Arabia; Department of Biological Sciences, Alabama State University, 915 S Jackson St, Montgomery, 36104, AL, United States","Scientific Reports","18","Missense SNPs; Pathogenicity prediction and computational tools; Single nucleotide polymorphisms","False","Scopus","10.1038/s41598-024-62299-2"
"Pediatric keratoconus in a tertiary eye hospital in Eastern province, Saudi Arabia: Patient characteristics and management outcomes","2024","Alhazmi A, Alsomali A, Algarni S, Althumairi A.","","Saudi J Ophthalmol","0","","True","PubMed","10.4103/sjopt.sjopt_169_24"
"Implantable Collamer Lens for Visual Rehabilitation in keratoconus - A Narrative Review of Visual and Refractive Outcomes","2024","Fairaq R.; Helayel H.B.; Abdulhadi H.; Almuwarraee S.M.; Almatrafi S.A.; Alruwaili R.; AlDahan D.; Hameed S.T.; AlShehri M.; AlMutlak M.","Anterior Segment Division, King Khaled Eye Specialist Hospital, Riyadh, Saudi Arabia; Ministry of Health, Madinah, Saudi Arabia; Department of Ophthalmology, King Abdulaziz Specialist Hospital, Al Jouf, Saudi Arabia; Khamis Mushait General Hospital, Khamis Mushait, Saudi Arabia","JFO Open Ophthalmology","1","Corneal crosslinking; Corneal ectasia; Intrastromal corneal ring segments; Keratoconus; Quality of life; Refractive surgery; Spectacle independence; Visual rehabilitation","False","Scopus","10.1016/j.jfop.2024.100131"
"Ocular Surface Disease Index questionnaire in different languages","2024","Aljarousha M.; Alghamdi W.M.; Attaallah S.; Alhoot M.A.","Department of Optometry and Vision Science, Faculty of Health & Life Sciences, Management and Science University, Malaysia; Department of Optometry, College of Applied Medical Sciences, Qassim University, Qassim, Saudi Arabia; School of Graduate Studies (SGS), Management & Science University (MSU), Selangor, Shah Alam, Malaysia","Medical Hypothesis, Discovery, and Innovation in Ophthalmology","7","cronbach’s alpha; dry eye disease; questionnaire; translations; validity and reliability","False","Scopus","10.51329/mehdiophthal1510"
"Artificial intelligence as diagnostic modality for keratoconus: A systematic review and meta-analysis","2024","Afifah A, Syafira F, Afladhanti PM, Dharmawidiarini D.","","J Taibah Univ Med Sci","0","","True","PubMed","10.1016/j.jtumed.2023.12.007"
"Design and evaluation of sulfadiazine derivatives as potent dual inhibitors of EGFRWT and EGFRT790M: integrating biological, molecular docking, and ADMET analysis","2024","Abd El-Lateef H.M.; Ezelarab H.A.A.; Ali A.M.; Alsaggaf A.T.; Mahdi W.A.; Alshehri S.; El Hamd M.A.; Aboelez M.O.","Department of Chemistry, College of Science, King Faisal University, Al-Ahsa, 31982, Saudi Arabia; Department of Chemistry, Faculty of Science, Sohag, 82524, Egypt; Department of Medicinal Chemistry, Faculty of Pharmacy, Minia University, Minia, 61519, Egypt; Department of Chemistry, Taibah University, Madinah, Saudi Arabia; Department of Pharmaceutics, College of Pharmacy, King Saud University, Riyadh, 11451, Saudi Arabia; Department of Pharmaceutical Chemistry, College of Pharmacy, Shaqra University, Shaqra, 11961, Saudi Arabia; Department of Pharmaceutical Analytical Chemistry, Faculty of Pharmacy, South Valley University, Qena, 83523, Egypt; Department of Pharmaceutical Chemistry, Faculty of Pharmacy, Sohag University, Sohag, Egypt","RSC Advances","18","","False","Scopus","10.1039/d4ra04165h"
"Exploring oral drug delivery: In vitro release and mathematical modeling of hydrophobic drug (Na-L-thyroxine) and its cyclodextrin inclusion complex in chitosan microparticles","2024","Lakkakula J.; Krause R.W.M.; Barage S.; Joshi A.; Patil S.; Khan A.A.; Roy A.","Amity Institute of Biotechnology, Amity University Maharashtra, Mumbai-Pune Expressway, Bhatan, Panvel, Mumbai, 410206, India; Centre for Computational Biology and Translational Research, Amity University Maharashtra, Mumbai - Pune Expressway, Bhatan, Post- Somathne, Panvel, 410206, Maharashtra, India; Department of Chemistry, Rhodes University, Grahamstown, 6140, South Africa; Pharmaceutical Biotechnology Laboratory, Department of Pharmaceutical Chemistry, College of Pharmacy, King Saud University, Riyadh, 11451, Saudi Arabia; Department of Biotechnology, School of Engineering & Technology, Sharda University, Greater Noida, India","International Journal of Biological Macromolecules","18","Na-L-thyroxine; Na-L-thyroxine loaded on chitosan, sustained delivery system; γ-Cyclodextrin","False","Scopus","10.1016/j.ijbiomac.2024.131019"
"Deep Reinforcement Learning Based Resource Allocation Strategy in Cloud-Edge Computing System","2024","Adhoni Z.A.; Habelalmateen M.I.; Janardhana D.R.; Sattar K.N.A.; Audah L.","Gitam School of Technology, Gitam University, Department Computer Science, Engineering Department, Bengaluru Rural, India; The Islamic University, Najaf, Iraq; Nitte Meenakshi Institute of Technology, Dept of Cse, Bengaluru, India; College of Science, Majmaah University, Department of Csi, Al Majmaah, Saudi Arabia; Universiti Tun Hussein Onn Malaysia, Electrical and Electronic Engineering, Batu Pahat, Johor, Parit Raja, Malaysia","International Conference on Distributed Computing and Optimization Techniques, ICDCOT 2024","0","allocation; cloud-edge resource; deep reinforcement learning; resource allocation; reward","False","Scopus","10.1109/ICDCOT61034.2024.10515480"
"Outcomes of Corneal Transplantation for Herpetic Keratitis: A Narrative Review","2024","Nardella M.; Yu A.C.; Busin M.; Rizzo R.; Zauli G.","Department of Translational Medicine, University of Ferrara, Ferrara, 44121, Italy; Department of Ophthalmology, Ospedali Privati Forlì “Villa Igea”, Forlì, 47122, Italy; Istituto Internazionale per la Ricerca e Formazione in Oftalmologia (IRFO), Forlì, 47122, Italy; Department of Chemical, Pharmaceutical and Agricultural Sciences, Ferrara, 44121, Italy; Research Department, King Khaled Eye Specialist Hospital, Riyadh, 12329, Saudi Arabia","Viruses","4","cornea; deep anterior lamellar keratoplasty (DALK); herpes simplex virus (HSV); herpetic keratitis; mushroom keratoplasty (MK); penetrating keratoplasty (PK)","False","Scopus","10.3390/v16091403"
"Corneal imaging and densitometry measurements in patients with Fuchs’dystrophy undergoing penetrating keratoplasty and Descemet’s striping automated endothelial keratoplasty","2024","Alzahrani K.; Alshehri J.; Brahma A.; Carley F.; Hillarby M.C.","Division of Pharmacy and Optometry, School of Health Sciences, University of Manchester, United Kingdom; Manchester Royal Eye Hospital, Manchester, United Kingdom; Optometry Department, King Fahad Armed Forces Hospital, Saudi Arabia; Department of Optometry, Al Baha University, Saudi Arabia","OphthaTherapy. Therapies in Ophthalmology","0","cornea; densitometry; dystrophy; endothelial; Fuchs; stroma","False","Scopus","10.24292/01.OT.212124"
"The Role of Pseudomonas aeruginosa in the Pathogenesis of Corneal Ulcer, Its Associated Virulence Factors, and Suggested Novel Treatment Approaches","2024","Badger-Emeka L.; Emeka P.; Thirugnanasambantham K.; Alatawi A.S.","Department of Biomedical Science, College of Medicine King, Faisal University, Al Ahsa 31982, Saudi Arabia; Department of Pharmaceutical Science, College of Clinical Pharmacy, King Faisal University, Al Ahsa 31982, Saudi Arabia; Pondicherry Centre for Biological Science and Educational Trust, Sundararaja Nagar, Puducherry, 605004, India","Pharmaceutics","13","bacterial keratitis; contact lenses; corneal ulcer; Pseudomonas aeruginosa; virulence factor","False","Scopus","10.3390/pharmaceutics16081074"
"Using RGP Lens in a Keratoconic Down Syndrome Patient","2024","Alibrahim A.; Shajeri M.A.; Tawashi M.M.; Alagsam A.A.M.; Abulqusim E.M.; Ng Y.G.","Department of Optometry, Ministry of Health, Jazan, Saudi Arabia; Faculty of Medicine, Jazan University, Jazan, Saudi Arabia; Faculty of Medicine and Health Sciences, Universiti Putra Malaysia, Selangor, Serdang, 43400, Malaysia","Springer Series in Design and Innovation","0","Down syndrome; healthcare ergonomics; keratoconus; rigid gas permeable lenses","False","Scopus","10.1007/978-3-031-60863-6_7"
"Efficient biogenesis of calcium oxide nanoparticles using the extract of Eleusine coracana seeds and their application against multidrug-resistant ocular bacterial pathogens","2024","Devanesan S.; David H.A.; Ranjitsingh A.J.; Alzahim T.; Selvam R.; AlSalhi M.S.","Department of Physics and Astronomy, College of Science, King Saud University, P.O. Box 2455, Riyadh, 11451, Saudi Arabia; Dr Agarwals Eye Hospital, 15, S Bypass Rd, Vannarpettai, Tamil Nadu, Tirunelveli, 627003, India; Department of Biotechnology, Prathyusha Engineering College, Chennai, 602025, India; Clinbiocare Biotechnology Institute, Mathalamparai, Tenkasi, 627 814, India; Department of Ophthalmology, Retina Unit, College of Medicine, King Saud University, Riyadh, 11451, Saudi Arabia; Department of Advanced Zoology and Biotechnology, Loyola Health Centre, Loyola College (Autonomous), Tamil Nadu, Chennai, 600 034, India","Environmental Research","4","Calcium oxide NPs; Corneal keratitis; Eleusine coracana; MDR bacteria; Nanodrugs; Vision impairment","False","Scopus","10.1016/j.envres.2024.118632"
"Effect of mitomycin C on the corneal endothelial cells of Saudi patients with myopia after transepithelial photorefractive keratectomy: a two-armed cohort study","2024","Alrashidi S.H.","Department of Ophthalmology, College of Medicine, Qassim University, Buraidah, 51452, Saudi Arabia","International Journal of Ophthalmology","0","corneal endothelium; mitomycin-C; transepithelial photorefractive keratectomy","False","Scopus","10.18240/ijo.2024.05.16"
